x_true,y_true,vx_true,vy_true,x_est,y_est,vx_est,vy_est,sensor,nis
0.6000,0.6000,5.1999,0.0000,0.3122,0.5803,0.0000,0.0000,L,0.0000
0.8600,0.6000,5.1997,0.0018,0.3262,0.2630,2.1250,3.9496,R,22.6991
1.1200,0.6002,5.1994,0.0054,1.1390,0.4958,2.9196,3.4049,L,1.1498
1.3800,0.6006,5.1990,0.0108,1.2747,0.5288,4.3773,1.0909,R,2.3748
1.6399,0.6013,5.1984,0.0180,1.5428,0.6125,4.4045,1.0568,L,0.9516
1.8998,0.6025,5.1977,0.0269,1.7890,0.5705,4.9497,0.1763,R,6.3109
2.1597,0.6041,5.1968,0.0377,2.0798,0.6031,4.9729,0.2126,L,0.9010
2.4195,0.6063,5.1957,0.0502,2.2994,0.6439,5.0034,0.5625,R,1.8113
2.6793,0.6092,5.1945,0.0646,2.5725,0.6706,5.0316,0.5329,L,0.3995
2.9390,0.6128,5.1931,0.0807,2.8450,0.6606,5.1460,0.3161,R,0.7643
3.1987,0.6173,5.1915,0.0985,3.0822,0.6655,5.1326,0.2641,L,0.3199
3.4583,0.6227,5.1896,0.1182,3.3740,0.5611,5.2079,-0.5793,R,2.6853
3.7177,0.6291,5.1875,0.1396,3.6808,0.4517,5.1568,-1.2955,L,3.8330
3.9771,0.6367,5.1852,0.1627,3.9603,0.5480,5.3255,-0.3696,R,4.0009
4.2363,0.6454,5.1826,0.1876,4.2387,0.5441,5.3377,-0.3412,L,0.3437
4.4954,0.6555,5.1796,0.2142,4.4995,0.5832,5.3010,-0.0932,R,0.9975
4.7544,0.6669,5.1763,0.2426,4.6920,0.6981,5.1454,0.4966,L,9.0992
5.0132,0.6798,5.1727,0.2726,4.9456,0.6970,5.1028,0.4264,R,1.8993
5.2717,0.6942,5.1687,0.3044,5.2515,0.6878,5.1826,0.3222,L,3.9227
5.5301,0.7103,5.1642,0.3379,5.5113,0.6938,5.2265,0.3128,R,1.5631
5.7883,0.7281,5.1593,0.3730,5.8106,0.7045,5.2785,0.3073,L,2.3528
6.0462,0.7476,5.1539,0.4098,6.0563,0.6287,5.2115,-0.0172,R,4.1370
6.3038,0.7691,5.1480,0.4482,6.3146,0.7434,5.1923,0.3878,L,2.9653
6.5611,0.7925,5.1416,0.4883,6.5653,0.7782,5.1484,0.4618,R,0.4304
6.8181,0.8180,5.1345,0.5300,6.8175,0.7715,5.1475,0.3940,L,0.2871
7.0747,0.8456,5.1268,0.5733,7.0617,0.7564,5.0629,0.3025,R,3.3271
7.3309,0.8754,5.1185,0.6181,7.2842,0.8392,5.0083,0.5183,L,2.1274
7.5867,0.9074,5.1095,0.6645,7.5769,0.8520,5.1260,0.5088,R,4.7194
7.8420,0.9419,5.0997,0.7125,7.8315,0.8248,5.1308,0.3849,L,0.7781
8.0968,0.9788,5.0891,0.7619,8.0814,0.8447,5.0658,0.3967,R,2.5342
8.3511,1.0181,5.0777,0.8128,8.3217,0.8583,5.0485,0.3965,L,0.3024
8.6047,1.0601,5.0654,0.8652,8.5899,0.9498,5.1304,0.6046,R,6.3449
8.8578,1.1047,5.0522,0.9190,8.8297,1.0047,5.0997,0.6938,L,0.5028
9.1101,1.1521,5.0380,0.9742,9.1191,1.0450,5.1531,0.7353,R,6.8928
9.3617,1.2022,5.0228,1.0308,9.3589,1.0740,5.1268,0.7461,L,0.5890
9.6125,1.2552,5.0066,1.0887,9.6378,1.1480,5.1629,0.8648,R,4.3785
9.8625,1.3112,4.9892,1.1479,9.9129,1.2709,5.1578,1.0908,L,2.8968
10.1117,1.3701,4.9707,1.2084,10.1611,1.3611,5.0609,1.2131,R,4.8338
10.3598,1.4321,4.9511,1.2701,10.3880,1.4384,5.0079,1.2999,L,1.0466
10.6069,1.4972,4.9301,1.3330,10.6197,1.5225,4.8828,1.3854,R,4.1184
10.8530,1.5655,4.9079,1.3970,10.8469,1.5518,4.8585,1.3475,L,1.2968
11.0979,1.6370,4.8844,1.4621,11.1125,1.6041,4.9014,1.3612,R,1.9857
11.3416,1.7118,4.8595,1.5283,11.3932,1.6485,4.9458,1.3489,L,2.0688
11.5840,1.7899,4.8331,1.5955,11.6245,1.7059,4.8868,1.3655,R,0.9023
11.8251,1.8714,4.8053,1.6637,11.8554,1.7684,4.8588,1.3941,L,0.3338
12.0647,1.9564,4.7760,1.7327,12.1113,1.8580,4.8981,1.4824,R,1.3596
12.3029,2.0448,4.7451,1.8027,12.3550,1.8865,4.8970,1.4195,L,0.7323
12.5394,2.1368,4.7126,1.8734,12.6110,1.9481,4.9427,1.4363,R,0.9246
12.7743,2.2323,4.6784,1.9448,12.8122,2.0787,4.8517,1.6102,L,3.2504
13.0075,2.3314,4.6426,2.0170,13.0791,2.1855,4.9199,1.7159,R,3.3679
13.2388,2.4341,4.6050,2.0898,13.2835,2.3241,4.8259,1.8841,L,2.5609
13.4682,2.5405,4.5656,2.1632,13.4638,2.4650,4.6259,2.0342,R,11.0672
13.6955,2.6505,4.5245,2.2370,13.7138,2.5812,4.6215,2.1217,L,0.8802
13.9208,2.7643,4.4815,2.3113,13.9338,2.6926,4.5618,2.1899,R,0.2333
14.1439,2.8818,4.4366,2.3860,14.1630,2.8462,4.5145,2.3446,L,0.6952
14.3646,3.0030,4.3897,2.4610,14.4130,2.9559,4.5724,2.3922,R,1.4081
14.5830,3.1280,4.3410,2.5362,14.6195,3.0300,4.5308,2.3528,L,2.1793
14.7989,3.2568,4.2902,2.6116,14.8511,3.1821,4.5314,2.4873,R,3.7967
15.0122,3.3893,4.2374,2.6870,15.0594,3.3742,4.4391,2.6949,L,1.2457
15.2228,3.5256,4.1826,2.7625,15.2709,3.5387,4.3359,2.8192,R,2.6413
15.4306,3.6657,4.1257,2.8379,15.4849,3.7270,4.2616,2.9869,L,0.7383
15.6355,3.8096,4.0668,2.9131,15.6964,3.8608,4.2161,3.0213,R,0.9516
15.8375,3.9572,4.0057,2.9882,15.9179,4.0057,4.1883,3.0731,L,0.1927
16.0363,4.1085,3.9425,3.0629,16.1136,4.1674,4.0613,3.1489,R,1.8242
16.2319,4.2636,3.8772,3.1372,16.3112,4.3631,3.9792,3.2954,L,0.4462
16.4242,4.4224,3.8097,3.2111,16.5213,4.5268,3.9484,3.3603,R,0.6204
16.6130,4.5849,3.7400,3.2844,16.6993,4.6956,3.8612,3.4309,L,0.5016
16.7983,4.7510,3.6682,3.3570,16.8528,4.8854,3.6303,3.5214,R,4.5919
16.9799,4.9208,3.5942,3.4290,17.0173,5.1110,3.5048,3.6904,L,0.6924
17.1579,5.0941,3.5180,3.5001,17.1871,5.2802,3.4103,3.7276,R,1.6950
17.3319,5.2709,3.4396,3.5703,17.3460,5.4623,3.3190,3.7887,L,0.2050
17.5019,5.4513,3.3591,3.6395,17.5021,5.6305,3.2107,3.8098,R,3.1825
17.6679,5.6351,3.2764,3.7076,17.6942,5.7557,3.2201,3.7452,L,1.6568
17.8297,5.8222,3.1915,3.7746,17.8380,5.9504,3.0736,3.8114,R,1.0672
17.9872,6.0127,3.1045,3.8403,18.0116,6.1418,3.0301,3.8703,L,0.7317
18.1402,6.2064,3.0154,3.9046,18.1615,6.3483,2.9453,3.9532,R,0.7144
18.2888,6.4033,2.9242,3.9675,18.2831,6.5864,2.8018,4.0892,L,0.6464
18.4328,6.6033,2.8309,4.0289,18.4151,6.7991,2.6850,4.1592,R,0.2676
18.5720,6.8064,2.7356,4.0887,18.5623,6.9371,2.6602,4.0843,L,1.9565
18.7064,7.0124,2.6383,4.1467,18.7116,7.1435,2.6381,4.1450,R,0.6675
18.8359,7.2212,2.5389,4.2030,18.9074,7.2835,2.7017,4.0577,L,3.9362
